,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
0,0,0.00033769999993182864,3622.9997081401716,0.0,10,300,0
1,1,0.010586399999965579,3622.9997081401716,1.0,10,300,0
2,2,0.01064089999999851,3650.9241510890265,3.0,10,300,0
3,3,0.010671799999954601,3650.9241510890265,4.0,10,300,0
4,4,0.0107005999999501,3650.9241510890265,5.0,10,300,0
5,5,0.01072969999995621,3650.9241510890265,6.0,10,300,0
6,6,0.010759399999983543,3650.9241510890265,7.0,10,300,0
7,7,0.010803000000009888,3650.9241510890265,8.0,10,300,0
8,8,0.010834399999907873,3650.9241510890265,9.0,10,300,0
9,9,0.01086479999992207,3650.9241510890265,10.0,10,300,0
10,10,0.010895499999946878,3650.9241510890265,11.0,10,300,0
11,11,0.010925899999961075,3650.9241510890265,12.0,10,300,0
12,12,0.010957299999972747,3650.9241510890265,13.0,10,300,0
13,13,0.010988599999905091,3650.9241510890265,14.0,10,300,0
14,14,0.011020699999903627,3650.9241510890265,15.0,10,300,0
15,15,0.011052899999981491,3650.9241510890265,16.0,10,300,0
16,16,0.01108560000000125,3650.9241510890265,17.0,10,300,0
17,17,0.011127699999974539,3650.9241510890265,18.0,10,300,0
18,18,0.01116300000001047,3650.9241510890265,19.0,10,300,0
19,19,0.01119729999993524,3650.9241510890265,20.0,10,300,0
20,20,0.01123209999991559,3650.9241510890265,21.0,10,300,0
21,21,0.0112667999999303,3650.9241510890265,22.0,10,300,0
22,22,0.011302599999908125,3650.9241510890265,23.0,10,300,0
23,23,0.011339199999952143,3650.9241510890265,24.0,10,300,0
24,24,0.011375599999951191,3650.9241510890265,25.0,10,300,0
25,25,0.011412800000016432,3650.9241510890265,26.0,10,300,0
26,26,0.011458500000003369,3650.9241510890265,27.0,10,300,0
27,27,0.011496899999997368,3650.9241510890265,28.0,10,300,0
28,28,0.011535600000001978,3650.9241510890265,29.0,10,300,0
29,29,0.011574399999972229,3650.9241510890265,30.0,10,300,0
30,30,0.011613499999953092,3650.9241510890265,31.0,10,300,0
31,31,0.011653199999955177,3650.9241510890265,32.0,10,300,0
32,32,0.011693699999909768,3650.9241510890265,33.0,10,300,0
33,33,0.011742099999992206,3650.9241510890265,34.0,10,300,0
34,34,0.011789299999918512,3650.9241510890265,35.0,10,300,0
35,35,0.011831400000005488,3650.9241510890265,36.0,10,300,0
36,36,0.01187419999996564,3650.9241510890265,37.0,10,300,0
37,37,0.011916899999960151,3650.9241510890265,38.0,10,300,0
38,38,0.011959799999999632,3650.9241510890265,39.0,10,300,0
39,39,0.012003299999946648,3650.9241510890265,40.0,10,300,0
40,40,0.012047499999994216,3650.9241510890265,41.0,10,300,0
41,41,0.01209999999991851,3650.9241510890265,42.0,10,300,0
42,42,0.012144999999918582,3650.9241510890265,43.0,10,300,0
43,43,0.012190699999905519,3650.9241510890265,44.0,10,300,0
44,44,0.012236499999971784,3650.9241510890265,45.0,10,300,0
45,45,0.012283099999990554,3650.9241510890265,46.0,10,300,0
46,46,0.012330099999985578,3650.9241510890265,47.0,10,300,0
47,47,0.012384599999904822,3650.9241510890265,48.0,10,300,0
48,48,0.012434099999950377,3650.9241510890265,49.0,10,300,0
49,49,0.012482999999974709,3650.9241510890265,50.0,10,300,0
50,50,0.012531699999954071,3650.9241510890265,51.0,10,300,0
51,51,0.012580799999909686,3650.9241510890265,52.0,10,300,0
52,52,0.012630500000000211,3650.9241510890265,53.0,10,300,0
53,53,0.012686899999948764,3650.9241510890265,54.0,10,300,0
54,54,0.012740299999904892,3650.9241510890265,55.0,10,300,0
55,55,0.012795099999948434,3650.9241510890265,56.0,10,300,0
56,56,0.012847899999997026,3650.9241510890265,57.0,10,300,0
57,57,0.012900199999990036,3650.9241510890265,58.0,10,300,0
58,58,0.012965399999984584,3673.0839455839114,60.0,10,300,0
59,59,0.013026299999978619,3673.0839455839114,61.0,10,300,0
60,60,0.013081399999919086,3673.0839455839114,62.0,10,300,0
61,61,0.013135699999907047,3673.0839455839114,63.0,10,300,0
62,62,0.013190199999939978,3673.0839455839114,64.0,10,300,0
63,63,0.013245099999949161,3673.0839455839114,65.0,10,300,0
64,64,0.013300699999945209,3673.0839455839114,66.0,10,300,0
65,65,0.013364499999966029,3673.0839455839114,67.0,10,300,0
66,66,0.013421499999935804,3673.0839455839114,68.0,10,300,0
67,67,0.013477799999918716,3673.0839455839114,69.0,10,300,0
68,68,0.013536599999952159,3673.0839455839114,70.0,10,300,0
69,69,0.013594199999943157,3673.0839455839114,71.0,10,300,0
70,70,0.013658200000008947,3673.0839455839114,72.0,10,300,0
71,71,0.013717799999994895,3673.0839455839114,73.0,10,300,0
72,72,0.013781300000005103,3673.0839455839114,74.0,10,300,0
73,73,0.01384379999990415,3673.0839455839114,75.0,10,300,0
74,74,0.01390389999994568,3673.0839455839114,76.0,10,300,0
75,75,0.013970599999993283,3673.0839455839114,77.0,10,300,0
76,76,0.014074599999958082,3673.0839455839114,78.0,10,300,0
77,77,0.014150499999914246,3673.0839455839114,79.0,10,300,0
78,78,0.014216099999998733,3673.0839455839114,80.0,10,300,0
79,79,0.014289799999914976,3673.0839455839114,81.0,10,300,0
80,80,0.014356899999938832,3673.0839455839114,82.0,10,300,0
81,81,0.014422399999943991,3673.0839455839114,83.0,10,300,0
82,82,0.014487299999927927,3673.0839455839114,84.0,10,300,0
83,83,0.014569100000016988,3673.0839455839114,85.0,10,300,0
84,84,0.01465650000000096,3673.0839455839114,86.0,10,300,0
85,85,0.014725899999916692,3673.0839455839114,87.0,10,300,0
86,86,0.014798199999972894,3673.0839455839114,88.0,10,300,0
87,87,0.014866299999994226,3673.0839455839114,89.0,10,300,0
88,88,0.014940999999907945,3673.0839455839114,90.0,10,300,0
89,89,0.015013299999964147,3673.0839455839114,91.0,10,300,0
90,90,0.015081599999916762,3673.0839455839114,92.0,10,300,0
91,91,0.015150199999993674,3673.0839455839114,93.0,10,300,0
92,92,0.015225299999997333,3673.0839455839114,94.0,10,300,0
93,93,0.015297099999997954,3673.0839455839114,95.0,10,300,0
94,94,0.015367399999945519,3673.0839455839114,96.0,10,300,0
95,95,0.015437499999961801,3673.0839455839114,97.0,10,300,0
96,96,0.015507500000012442,3673.0839455839114,98.0,10,300,0
97,97,0.015587099999947895,3673.0839455839114,99.0,10,300,0
98,98,0.01565979999998035,3673.0839455839114,100.0,10,300,0
99,99,0.015734199999997145,3673.0839455839114,101.0,10,300,0
100,100,0.01581019999991895,3673.0839455839114,102.0,10,300,0
101,101,0.015933199999949466,3673.0839455839114,103.0,10,300,0
102,102,0.016027199999939512,3673.0839455839114,104.0,10,300,0
103,103,0.01610399999992751,3673.0839455839114,105.0,10,300,0
104,104,0.01618909999990592,3673.0839455839114,106.0,10,300,0
105,105,0.016302799999948547,3673.0839455839114,107.0,10,300,0
106,106,0.016392599999903723,3673.0839455839114,108.0,10,300,0
107,107,0.016484199999922566,3673.0839455839114,109.0,10,300,0
108,108,0.016565299999911076,3673.0839455839114,110.0,10,300,0
109,109,0.01664359999995213,3673.0839455839114,111.0,10,300,0
110,110,0.016721899999993184,3673.0839455839114,112.0,10,300,0
111,111,0.01680989999999838,3673.0839455839114,113.0,10,300,0
112,112,0.01689079999994192,3673.0839455839114,114.0,10,300,0
113,113,0.01697039999999106,3673.0839455839114,115.0,10,300,0
114,114,0.01704959999995026,3673.0839455839114,116.0,10,300,0
115,115,0.01713629999994737,3673.0839455839114,117.0,10,300,0
116,116,0.017220299999962663,3673.0839455839114,118.0,10,300,0
117,117,0.017301799999927425,3673.0839455839114,119.0,10,300,0
118,118,0.017383300000005875,3673.0839455839114,120.0,10,300,0
119,119,0.017471599999907994,3673.0839455839114,121.0,10,300,0
120,120,0.01793899999995574,3673.0839455839114,122.0,10,300,0
121,121,0.018040199999973083,3673.0839455839114,123.0,10,300,0
122,122,0.018131799999991927,3673.0839455839114,124.0,10,300,0
123,123,0.018217999999933454,3673.0839455839114,125.0,10,300,0
124,124,0.018302199999993718,3673.0839455839114,126.0,10,300,0
125,125,0.01838729999997213,3673.0839455839114,127.0,10,300,0
126,126,0.01847859999998036,3673.0839455839114,128.0,10,300,0
127,127,0.018568399999935536,3673.0839455839114,129.0,10,300,0
128,128,0.018654799999922034,3673.0839455839114,130.0,10,300,0
129,129,0.018747899999993933,3673.0839455839114,131.0,10,300,0
130,130,0.018842099999915263,3673.0839455839114,132.0,10,300,0
131,131,0.018929599999978564,3673.0839455839114,133.0,10,300,0
132,132,0.019016999999962536,3673.0839455839114,134.0,10,300,0
133,133,0.019111500000008164,3673.0839455839114,135.0,10,300,0
134,134,0.01920129999996334,3673.0839455839114,136.0,10,300,0
135,135,0.01929050000001098,3673.0839455839114,137.0,10,300,0
136,136,0.019386800000006588,3673.0839455839114,138.0,10,300,0
137,137,0.019478999999932967,3673.0839455839114,139.0,10,300,0
138,138,0.019569399999909365,3673.0839455839114,140.0,10,300,0
139,139,0.019660399999906986,3673.0839455839114,141.0,10,300,0
140,140,0.019759299999918767,3673.0839455839114,142.0,10,300,0
141,141,0.019856000000004315,3673.0839455839114,143.0,10,300,0
142,142,0.019948399999975663,3673.0839455839114,144.0,10,300,0
143,143,0.020047599999998056,3673.0839455839114,145.0,10,300,0
144,144,0.02014269999995122,3673.0839455839114,146.0,10,300,0
145,145,0.020236999999951877,3673.0839455839114,147.0,10,300,0
146,146,0.020342799999980343,3673.0839455839114,148.0,10,300,0
147,147,0.020441799999957766,3673.0839455839114,149.0,10,300,0
148,148,0.020540900000014517,3673.0839455839114,150.0,10,300,0
149,149,0.020646399999918685,3673.0839455839114,151.0,10,300,0
150,150,0.02074449999997796,3673.0839455839114,152.0,10,300,0
151,151,0.020846099999971557,3673.0839455839114,153.0,10,300,0
152,152,0.020950599999991937,3673.0839455839114,154.0,10,300,0
153,153,0.02105159999996431,3673.0839455839114,155.0,10,300,0
154,154,0.02115009999999984,3673.0839455839114,156.0,10,300,0
155,155,0.02124879999996665,3673.0839455839114,157.0,10,300,0
156,156,0.021355999999968844,3673.0839455839114,158.0,10,300,0
157,157,0.02145509999991191,3673.0839455839114,159.0,10,300,0
158,158,0.02155419999996866,3673.0839455839114,160.0,10,300,0
159,1,0.010586399999965579,3666.1518924677275,162.0,10,300,1
160,2,0.01064089999999851,3666.1518924677275,163.0,10,300,1
161,3,0.010671799999954601,3666.1518924677275,164.0,10,300,1
162,4,0.0107005999999501,3690.533917545609,166.0,10,300,1
163,5,0.01072969999995621,3690.533917545609,167.0,10,300,1
164,6,0.010759399999983543,3690.533917545609,168.0,10,300,1
165,7,0.010803000000009888,3690.533917545609,169.0,10,300,1
166,8,0.010834399999907873,3713.2712879274013,171.0,10,300,1
167,9,0.01086479999992207,3737.023166892956,173.0,10,300,1
168,10,0.010895499999946878,3761.5680635342933,175.0,10,300,1
169,11,0.010925899999961075,3761.5680635342933,176.0,10,300,1
170,12,0.010957299999972747,3761.5680635342933,177.0,10,300,1
171,13,0.010988599999905091,3761.5680635342933,178.0,10,300,1
172,14,0.011020699999903627,3761.5680635342933,179.0,10,300,1
173,15,0.011052899999981491,3761.5680635342933,180.0,10,300,1
174,16,0.01108560000000125,3761.5680635342933,181.0,10,300,1
175,17,0.011127699999974539,3761.5680635342933,182.0,10,300,1
176,18,0.01116300000001047,3761.5680635342933,183.0,10,300,1
177,19,0.01119729999993524,3761.5680635342933,184.0,10,300,1
178,20,0.01123209999991559,3761.5680635342933,185.0,10,300,1
179,21,0.0112667999999303,3761.5680635342933,186.0,10,300,1
180,22,0.011302599999908125,3761.5680635342933,187.0,10,300,1
181,23,0.011339199999952143,3782.8988828995784,189.0,10,300,1
182,24,0.011375599999951191,3782.8988828995784,190.0,10,300,1
183,25,0.011412800000016432,3782.8988828995784,191.0,10,300,1
184,26,0.011458500000003369,3782.8988828995784,192.0,10,300,1
185,27,0.011496899999997368,3782.8988828995784,193.0,10,300,1
186,28,0.011535600000001978,3782.8988828995784,194.0,10,300,1
187,29,0.011574399999972229,3782.8988828995784,195.0,10,300,1
188,30,0.011613499999953092,3782.8988828995784,196.0,10,300,1
189,31,0.011653199999955177,3782.8988828995784,197.0,10,300,1
190,32,0.011693699999909768,3782.8988828995784,198.0,10,300,1
191,33,0.011742099999992206,3782.8988828995784,199.0,10,300,1
192,34,0.011789299999918512,3782.8988828995784,200.0,10,300,1
193,35,0.011831400000005488,3782.8988828995784,201.0,10,300,1
194,36,0.01187419999996564,3782.8988828995784,202.0,10,300,1
195,37,0.011916899999960151,3782.8988828995784,203.0,10,300,1
196,38,0.011959799999999632,3782.8988828995784,204.0,10,300,1
197,39,0.012003299999946648,3782.8988828995784,205.0,10,300,1
198,40,0.012047499999994216,3782.8988828995784,206.0,10,300,1
199,41,0.01209999999991851,3782.8988828995784,207.0,10,300,1
200,42,0.012144999999918582,3782.8988828995784,208.0,10,300,1
201,43,0.012190699999905519,3782.8988828995784,209.0,10,300,1
202,44,0.012236499999971784,3782.8988828995784,210.0,10,300,1
203,45,0.012283099999990554,3782.8988828995784,211.0,10,300,1
204,46,0.012330099999985578,3782.8988828995784,212.0,10,300,1
205,47,0.012384599999904822,3782.8988828995784,213.0,10,300,1
206,48,0.012434099999950377,3782.8988828995784,214.0,10,300,1
207,49,0.012482999999974709,3782.8988828995784,215.0,10,300,1
208,50,0.012531699999954071,3782.8988828995784,216.0,10,300,1
209,51,0.012580799999909686,3782.8988828995784,217.0,10,300,1
210,52,0.012630500000000211,3782.8988828995784,218.0,10,300,1
211,53,0.012686899999948764,3782.8988828995784,219.0,10,300,1
212,54,0.012740299999904892,3782.8988828995784,220.0,10,300,1
213,55,0.012795099999948434,3782.8988828995784,221.0,10,300,1
214,56,0.012847899999997026,3782.8988828995784,222.0,10,300,1
215,57,0.012900199999990036,3782.8988828995784,223.0,10,300,1
216,58,0.012965399999984584,3782.8988828995784,224.0,10,300,1
217,59,0.013026299999978619,3782.8988828995784,225.0,10,300,1
218,60,0.013081399999919086,3782.8988828995784,226.0,10,300,1
219,61,0.013135699999907047,3782.8988828995784,227.0,10,300,1
220,62,0.013190199999939978,3782.8988828995784,228.0,10,300,1
221,63,0.013245099999949161,3782.8988828995784,229.0,10,300,1
222,64,0.013300699999945209,3782.8988828995784,230.0,10,300,1
223,65,0.013364499999966029,3782.8988828995784,231.0,10,300,1
224,66,0.013421499999935804,3782.8988828995784,232.0,10,300,1
225,67,0.013477799999918716,3782.8988828995784,233.0,10,300,1
226,68,0.013536599999952159,3782.8988828995784,234.0,10,300,1
227,69,0.013594199999943157,3782.8988828995784,235.0,10,300,1
228,70,0.013658200000008947,3782.8988828995784,236.0,10,300,1
229,71,0.013717799999994895,3782.8988828995784,237.0,10,300,1
230,72,0.013781300000005103,3782.8988828995784,238.0,10,300,1
231,73,0.01384379999990415,3782.8988828995784,239.0,10,300,1
232,74,0.01390389999994568,3782.8988828995784,240.0,10,300,1
233,75,0.013970599999993283,3782.8988828995784,241.0,10,300,1
234,76,0.014074599999958082,3782.8988828995784,242.0,10,300,1
235,77,0.014150499999914246,3782.8988828995784,243.0,10,300,1
236,78,0.014216099999998733,3782.8988828995784,244.0,10,300,1
237,79,0.014289799999914976,3782.8988828995784,245.0,10,300,1
238,80,0.014356899999938832,3782.8988828995784,246.0,10,300,1
239,81,0.014422399999943991,3782.8988828995784,247.0,10,300,1
240,82,0.014487299999927927,3782.8988828995784,248.0,10,300,1
241,83,0.014569100000016988,3782.8988828995784,249.0,10,300,1
242,84,0.01465650000000096,3782.8988828995784,250.0,10,300,1
243,85,0.014725899999916692,3782.8988828995784,251.0,10,300,1
244,86,0.014798199999972894,3782.8988828995784,252.0,10,300,1
245,87,0.014866299999994226,3782.8988828995784,253.0,10,300,1
246,88,0.014940999999907945,3782.8988828995784,254.0,10,300,1
247,89,0.015013299999964147,3782.8988828995784,255.0,10,300,1
248,90,0.015081599999916762,3782.8988828995784,256.0,10,300,1
249,91,0.015150199999993674,3782.8988828995784,257.0,10,300,1
250,92,0.015225299999997333,3782.8988828995784,258.0,10,300,1
251,93,0.015297099999997954,3782.8988828995784,259.0,10,300,1
252,94,0.015367399999945519,3782.8988828995784,260.0,10,300,1
253,95,0.015437499999961801,3782.8988828995784,261.0,10,300,1
254,96,0.015507500000012442,3782.8988828995784,262.0,10,300,1
