,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
25,500,523.0,910,0.7083595000003697,"[21, 20, 25, 16, 9, 11, 0, 2, 6, 29, 18, 1, 30, 17, 15, 7, 28, 26, 14, 32, 3, 25, 19, 1, 10, 24, 13, 8, 12, 4, 23, 31, 5]",50,500,1
26,0,491.0,910,0.7415320000000065,"[2, 1, 9, 13, 9, 27, 31, 20, 20, 2, 15, 13, 2, 3, 14, 27, 17, 23, 19, 3, 14, 20, 18, 23, 25, 29, 17, 22, 29, 7, 17, 0, 26]",50,500,2
27,500,520.0,1402,1.285218499999246,"[5, 1, 15, 22, 18, 27, 31, 28, 20, 2, 17, 13, 0, 3, 32, 23, 8, 26, 16, 4, 31, 24, 11, 32, 25, 29, 21, 12, 25, 7, 10, 0, 16]",50,500,2
28,0,491.0,1402,1.3207616999989114,"[20, 13, 3, 13, 19, 30, 21, 25, 24, 12, 13, 30, 12, 6, 13, 4, 8, 22, 6, 7, 29, 8, 23, 4, 13, 17, 31, 1, 9, 15, 2, 15, 22]",50,500,3
29,500,518.0,1667,1.6664252999999007,"[20, 17, 3, 13, 19, 30, 32, 25, 5, 12, 17, 30, 21, 6, 11, 21, 8, 13, 16, 7, 28, 10, 23, 16, 18, 4, 31, 1, 9, 15, 2, 15, 22]",50,500,3
30,0,488.0,1667,1.703202999999121,"[30, 17, 18, 7, 30, 13, 7, 19, 2, 4, 0, 12, 12, 2, 21, 16, 23, 30, 30, 3, 6, 15, 32, 10, 12, 32, 2, 17, 4, 2, 22, 15, 9]",50,500,4
31,500,520.0,2132,2.36494169999969,"[30, 3, 18, 7, 30, 13, 11, 19, 32, 28, 0, 25, 27, 12, 21, 16, 29, 2, 11, 8, 6, 15, 32, 10, 4, 31, 17, 5, 31, 13, 22, 26, 9]",50,500,4
32,0,496.0,2132,2.405279700000392,"[31, 21, 1, 19, 4, 10, 14, 6, 29, 17, 20, 24, 32, 0, 11, 21, 27, 29, 14, 12, 3, 19, 4, 25, 20, 26, 20, 13, 19, 1, 23, 4, 14]",50,500,5
33,500,518.0,2411,2.8685248000001593,"[31, 31, 7, 15, 2, 10, 14, 6, 29, 30, 17, 24, 32, 0, 11, 21, 27, 17, 28, 23, 3, 16, 4, 25, 5, 26, 20, 13, 19, 1, 23, 2, 18]",50,500,5
34,0,492.0,2411,2.9096723000002385,"[14, 28, 3, 7, 20, 3, 4, 13, 12, 17, 13, 3, 28, 6, 31, 30, 11, 1, 1, 7, 27, 2, 4, 28, 25, 3, 16, 4, 19, 20, 22, 18, 6]",50,500,6
