,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
89,89,27.156666200000018,502.0,4590.0,True,50,0.1,200
90,90,27.465330300000005,502.0,4641.0,True,50,0.1,200
91,91,27.776498800000013,502.0,4692.0,True,50,0.1,200
92,92,28.089536199999998,502.0,4743.0,True,50,0.1,200
93,93,28.403224599999987,502.0,4794.0,True,50,0.1,200
94,94,28.712856199999976,502.0,4845.0,True,50,0.1,200
95,95,29.02263579999999,502.0,4896.0,True,50,0.1,200
96,96,29.334352799999976,502.0,4947.0,True,50,0.1,200
97,97,29.6471176,502.0,4998.0,True,50,0.1,200
98,98,29.95918419999998,502.0,5049.0,True,50,0.1,200
99,99,30.26590970000001,502.0,5100.0,True,50,0.1,200
100,100,30.57450560000001,502.0,5151.0,True,50,0.1,200
101,101,30.875616700000023,502.0,5202.0,True,50,0.1,200
102,0,0.024818400000015117,489.0,50.0,True,50,0.4,200
103,1,0.2774008999999751,501.0,102.0,True,50,0.4,200
104,2,0.5164436000000023,506.0,154.0,True,50,0.4,200
105,3,0.815438400000005,506.0,205.0,True,50,0.4,200
106,4,1.118552799999975,506.0,256.0,True,50,0.4,200
107,5,1.4283224999999788,506.0,307.0,True,50,0.4,200
108,6,1.7405145000000175,506.0,358.0,True,50,0.4,200
109,7,2.0568413000000305,506.0,409.0,True,50,0.4,200
110,8,2.372755400000017,506.0,460.0,True,50,0.4,200
111,9,2.6871868000000063,506.0,511.0,True,50,0.4,200
112,10,3.0010434000000146,506.0,562.0,True,50,0.4,200
113,11,3.312162600000022,506.0,613.0,True,50,0.4,200
114,12,3.620603899999992,506.0,664.0,True,50,0.4,200
115,13,3.92541540000002,506.0,715.0,True,50,0.4,200
116,14,4.22859729999999,506.0,766.0,True,50,0.4,200
117,15,4.532688399999984,506.0,817.0,True,50,0.4,200
118,16,4.837232299999982,506.0,868.0,True,50,0.4,200
119,17,5.138787900000011,506.0,919.0,True,50,0.4,200
120,18,5.441929099999982,506.0,970.0,True,50,0.4,200
121,19,5.743687899999998,506.0,1021.0,True,50,0.4,200
122,20,6.044288900000026,506.0,1072.0,True,50,0.4,200
123,21,6.348792000000003,506.0,1123.0,True,50,0.4,200
124,22,6.6525131000000215,508.0,1175.0,True,50,0.4,200
125,23,6.95599500000003,509.0,1227.0,True,50,0.4,200
126,24,7.258268600000008,509.0,1278.0,True,50,0.4,200
127,25,7.570267399999977,509.0,1329.0,True,50,0.4,200
128,26,7.891043400000001,509.0,1380.0,True,50,0.4,200
129,27,8.204744300000016,510.0,1432.0,True,50,0.4,200
130,28,8.516372499999989,510.0,1483.0,True,50,0.4,200
131,29,8.830199100000016,510.0,1534.0,True,50,0.4,200
132,30,9.140926700000023,510.0,1585.0,True,50,0.4,200
133,31,9.44408450000003,510.0,1636.0,True,50,0.4,200
134,32,9.756087499999978,510.0,1687.0,True,50,0.4,200
135,33,10.068403999999987,510.0,1738.0,True,50,0.4,200
136,34,10.382993399999975,510.0,1789.0,True,50,0.4,200
137,35,10.700056500000017,510.0,1840.0,True,50,0.4,200
138,36,11.015081199999997,510.0,1891.0,True,50,0.4,200
139,37,11.326199099999997,510.0,1942.0,True,50,0.4,200
140,38,11.638884700000006,510.0,1993.0,True,50,0.4,200
141,39,11.95195910000001,510.0,2044.0,True,50,0.4,200
142,40,12.266425099999992,510.0,2095.0,True,50,0.4,200
143,41,12.575243100000023,510.0,2146.0,True,50,0.4,200
144,42,12.88848250000001,510.0,2197.0,True,50,0.4,200
145,43,13.199512599999991,510.0,2248.0,True,50,0.4,200
146,44,13.50727599999999,510.0,2299.0,True,50,0.4,200
147,45,13.81144039999998,510.0,2350.0,True,50,0.4,200
148,46,14.120800000000031,510.0,2401.0,True,50,0.4,200
149,47,14.42836520000003,512.0,2453.0,True,50,0.4,200
150,48,14.733302200000026,512.0,2504.0,True,50,0.4,200
151,49,15.032329000000004,512.0,2555.0,True,50,0.4,200
152,50,15.333203000000026,512.0,2606.0,True,50,0.4,200
153,51,15.632793900000024,512.0,2657.0,True,50,0.4,200
154,52,15.931175800000005,512.0,2708.0,True,50,0.4,200
155,53,16.230502699999988,512.0,2759.0,True,50,0.4,200
156,54,16.530504699999995,512.0,2810.0,True,50,0.4,200
157,55,16.829985399999998,512.0,2861.0,True,50,0.4,200
158,56,17.130113800000004,512.0,2912.0,True,50,0.4,200
159,57,17.429813500000023,512.0,2963.0,True,50,0.4,200
160,58,17.732058600000016,512.0,3014.0,True,50,0.4,200
161,59,18.03192919999998,512.0,3065.0,True,50,0.4,200
162,60,18.33371790000001,512.0,3116.0,True,50,0.4,200
163,61,18.6357261,512.0,3167.0,True,50,0.4,200
164,62,18.944338000000016,513.0,3219.0,True,50,0.4,200
165,63,19.25430019999999,513.0,3270.0,True,50,0.4,200
166,64,19.55778220000002,513.0,3321.0,True,50,0.4,200
167,65,19.864041299999997,513.0,3372.0,True,50,0.4,200
168,66,20.176930400000003,513.0,3423.0,True,50,0.4,200
169,67,20.480454399999985,513.0,3474.0,True,50,0.4,200
170,68,20.786877600000025,513.0,3525.0,True,50,0.4,200
171,69,21.099986399999977,513.0,3576.0,True,50,0.4,200
172,70,21.408683699999983,513.0,3627.0,True,50,0.4,200
173,71,21.71415350000001,513.0,3678.0,True,50,0.4,200
174,72,22.016166399999975,513.0,3729.0,True,50,0.4,200
175,73,22.31899900000002,513.0,3780.0,True,50,0.4,200
176,74,22.619441300000005,513.0,3831.0,True,50,0.4,200
177,75,22.918214200000023,513.0,3882.0,True,50,0.4,200
178,76,23.224979099999985,513.0,3933.0,True,50,0.4,200
179,77,23.530442499999992,513.0,3984.0,True,50,0.4,200
180,78,23.830725400000006,513.0,4035.0,True,50,0.4,200
181,79,24.1316109,513.0,4086.0,True,50,0.4,200
182,80,24.431973099999993,513.0,4137.0,True,50,0.4,200
183,81,24.73159320000002,513.0,4188.0,True,50,0.4,200
184,82,25.044494799999995,513.0,4239.0,True,50,0.4,200
185,83,25.346452499999998,513.0,4290.0,True,50,0.4,200
186,84,25.64630840000001,513.0,4341.0,True,50,0.4,200
187,85,25.9464878,513.0,4392.0,True,50,0.4,200
188,86,26.246777899999984,513.0,4443.0,True,50,0.4,200
189,87,26.54714580000001,513.0,4494.0,True,50,0.4,200
190,88,26.85581780000001,513.0,4545.0,True,50,0.4,200
191,89,27.156666200000018,513.0,4596.0,True,50,0.4,200
192,90,27.465330300000005,513.0,4647.0,True,50,0.4,200
193,91,27.776498800000013,513.0,4698.0,True,50,0.4,200
194,92,28.089536199999998,513.0,4749.0,True,50,0.4,200
195,93,28.403224599999987,513.0,4800.0,True,50,0.4,200
196,94,28.712856199999976,513.0,4851.0,True,50,0.4,200
197,95,29.02263579999999,513.0,4902.0,True,50,0.4,200
198,96,29.334352799999976,513.0,4953.0,True,50,0.4,200
199,97,29.6471176,513.0,5004.0,True,50,0.4,200
200,98,29.95918419999998,513.0,5055.0,True,50,0.4,200
201,99,30.26590970000001,513.0,5106.0,True,50,0.4,200
202,100,30.57450560000001,513.0,5157.0,True,50,0.4,200
203,101,30.875616700000023,513.0,5208.0,True,50,0.4,200
204,102,0.023711999999989075,513.0,5259.0,True,50,0.4,200
205,103,0.29638610000000654,513.0,5310.0,True,50,0.4,200
206,104,0.5708210000000236,513.0,5361.0,True,50,0.4,200
207,105,0.8360238000000209,513.0,5412.0,True,50,0.4,200
208,106,1.096135400000037,513.0,5463.0,True,50,0.4,200
209,107,1.3539034000000356,513.0,5514.0,True,50,0.4,200
210,108,1.654137999999989,513.0,5565.0,True,50,0.4,200
211,109,1.9558367000000203,513.0,5616.0,True,50,0.4,200
212,110,2.2642720000000054,513.0,5667.0,True,50,0.4,200
213,111,2.571655700000008,513.0,5718.0,True,50,0.4,200
214,112,2.8806147999999894,513.0,5769.0,True,50,0.4,200
215,113,3.184278500000005,513.0,5820.0,True,50,0.4,200
216,114,3.4859189000000015,513.0,5871.0,True,50,0.4,200
217,115,3.7886970000000133,513.0,5922.0,True,50,0.4,200
218,116,4.090718200000026,513.0,5973.0,True,50,0.4,200
219,117,4.404339600000014,513.0,6024.0,True,50,0.4,200
220,118,4.720878599999992,513.0,6075.0,True,50,0.4,200
221,119,5.033023100000037,513.0,6126.0,True,50,0.4,200
222,120,5.343784000000028,513.0,6177.0,True,50,0.4,200
223,121,5.662764299999992,513.0,6228.0,True,50,0.4,200
224,122,5.978111200000001,513.0,6279.0,True,50,0.4,200
225,123,6.290586399999995,513.0,6330.0,True,50,0.4,200
226,124,6.559202700000014,513.0,6381.0,True,50,0.4,200
227,125,6.823797300000024,513.0,6432.0,True,50,0.4,200
228,126,7.111263300000019,513.0,6483.0,True,50,0.4,200
229,127,7.391145499999993,513.0,6534.0,True,50,0.4,200
230,128,7.664618899999994,513.0,6585.0,True,50,0.4,200
231,129,7.951592400000038,513.0,6636.0,True,50,0.4,200
232,130,8.224949100000003,513.0,6687.0,True,50,0.4,200
233,131,8.504164100000025,513.0,6738.0,True,50,0.4,200
234,132,8.811896999999988,513.0,6789.0,True,50,0.4,200
235,133,9.083733400000028,513.0,6840.0,True,50,0.4,200
236,134,9.36736110000004,513.0,6891.0,True,50,0.4,200
237,135,9.694240400000012,513.0,6942.0,True,50,0.4,200
238,136,9.999426599999993,513.0,6993.0,True,50,0.4,200
239,137,10.302983100000006,513.0,7044.0,True,50,0.4,200
240,138,10.618744600000014,513.0,7095.0,True,50,0.4,200
241,139,10.9301332,513.0,7146.0,True,50,0.4,200
242,140,11.245499400000028,513.0,7197.0,True,50,0.4,200
243,141,11.55713750000001,513.0,7248.0,True,50,0.4,200
244,142,11.887614000000042,513.0,7299.0,True,50,0.4,200
245,143,12.191112000000032,513.0,7350.0,True,50,0.4,200
246,144,12.497521600000027,513.0,7401.0,True,50,0.4,200
247,145,12.808418000000017,513.0,7452.0,True,50,0.4,200
248,146,13.121325200000001,513.0,7503.0,True,50,0.4,200
249,147,13.422368300000016,513.0,7554.0,True,50,0.4,200
250,148,13.721759500000019,513.0,7605.0,True,50,0.4,200
251,149,14.035499200000004,513.0,7656.0,True,50,0.4,200
252,150,14.337648699999988,513.0,7707.0,True,50,0.4,200
253,151,14.64931290000004,513.0,7758.0,True,50,0.4,200
254,152,14.959096299999999,513.0,7809.0,True,50,0.4,200
255,153,15.265602699999988,513.0,7860.0,True,50,0.4,200
256,154,15.60783090000001,513.0,7911.0,True,50,0.4,200
257,155,15.94088690000001,513.0,7962.0,True,50,0.4,200
258,156,16.259898700000008,513.0,8013.0,True,50,0.4,200
259,157,16.589867200000015,513.0,8064.0,True,50,0.4,200
260,158,16.909359999999992,513.0,8115.0,True,50,0.4,200
261,159,17.24892010000002,513.0,8166.0,True,50,0.4,200
262,160,17.57328560000002,513.0,8217.0,True,50,0.4,200
263,161,17.90280469999999,513.0,8268.0,True,50,0.4,200
264,162,18.25297549999999,513.0,8319.0,True,50,0.4,200
265,0,0.024818400000015117,489.0,50.0,True,50,0.8,200
266,1,0.2774008999999751,503.0,102.0,True,50,0.8,200
267,2,0.5164436000000023,504.0,154.0,True,50,0.8,200
268,3,0.815438400000005,504.0,205.0,True,50,0.8,200
269,4,1.118552799999975,505.0,257.0,True,50,0.8,200
270,5,1.4283224999999788,505.0,308.0,True,50,0.8,200
271,6,1.7405145000000175,505.0,359.0,True,50,0.8,200
272,7,2.0568413000000305,505.0,410.0,True,50,0.8,200
273,8,2.372755400000017,505.0,461.0,True,50,0.8,200
274,9,2.6871868000000063,505.0,512.0,True,50,0.8,200
275,10,3.0010434000000146,505.0,563.0,True,50,0.8,200
276,11,3.312162600000022,505.0,614.0,True,50,0.8,200
277,12,3.620603899999992,505.0,665.0,True,50,0.8,200
278,13,3.92541540000002,505.0,716.0,True,50,0.8,200
279,14,4.22859729999999,505.0,767.0,True,50,0.8,200
280,15,4.532688399999984,505.0,818.0,True,50,0.8,200
281,16,4.837232299999982,505.0,869.0,True,50,0.8,200
282,17,5.138787900000011,505.0,920.0,True,50,0.8,200
283,18,5.441929099999982,505.0,971.0,True,50,0.8,200
284,19,5.743687899999998,505.0,1022.0,True,50,0.8,200
285,20,6.044288900000026,505.0,1073.0,True,50,0.8,200
286,21,6.348792000000003,505.0,1124.0,True,50,0.8,200
287,22,6.6525131000000215,505.0,1175.0,True,50,0.8,200
288,23,6.95599500000003,505.0,1226.0,True,50,0.8,200
289,24,7.258268600000008,505.0,1277.0,True,50,0.8,200
290,25,7.570267399999977,505.0,1328.0,True,50,0.8,200
291,26,7.891043400000001,505.0,1379.0,True,50,0.8,200
292,27,8.204744300000016,505.0,1430.0,True,50,0.8,200
293,28,8.516372499999989,505.0,1481.0,True,50,0.8,200
294,29,8.830199100000016,505.0,1532.0,True,50,0.8,200
295,30,9.140926700000023,505.0,1583.0,True,50,0.8,200
296,31,9.44408450000003,505.0,1634.0,True,50,0.8,200
297,32,9.756087499999978,505.0,1685.0,True,50,0.8,200
298,33,10.068403999999987,505.0,1736.0,True,50,0.8,200
299,34,10.382993399999975,505.0,1787.0,True,50,0.8,200
300,35,10.700056500000017,505.0,1838.0,True,50,0.8,200
301,36,11.015081199999997,505.0,1889.0,True,50,0.8,200
302,37,11.326199099999997,505.0,1940.0,True,50,0.8,200
303,38,11.638884700000006,505.0,1991.0,True,50,0.8,200
304,39,11.95195910000001,505.0,2042.0,True,50,0.8,200
305,40,12.266425099999992,505.0,2093.0,True,50,0.8,200
306,41,12.575243100000023,505.0,2144.0,True,50,0.8,200
307,42,12.88848250000001,505.0,2195.0,True,50,0.8,200
308,43,13.199512599999991,505.0,2246.0,True,50,0.8,200
309,44,13.50727599999999,505.0,2297.0,True,50,0.8,200
310,45,13.81144039999998,505.0,2348.0,True,50,0.8,200
311,46,14.120800000000031,505.0,2399.0,True,50,0.8,200
312,47,14.42836520000003,505.0,2450.0,True,50,0.8,200
