,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.007252000000107728,3696.564717891505,200.0,200,0.1,100
1,1,0.03011970000011388,3902.2185215941104,402.0,200,0.1,100
2,2,0.04257550000011179,3955.0968215561234,604.0,200,0.1,100
3,3,0.05530280000016319,3955.0968215561234,805.0,200,0.1,100
4,4,0.06913830000007692,3984.934127876878,1007.0,200,0.1,100
5,5,0.08248410000010153,3984.934127876878,1208.0,200,0.1,100
6,6,0.09518479999996998,3984.934127876878,1409.0,200,0.1,100
7,7,0.1083997000000636,3984.934127876878,1610.0,200,0.1,100
8,8,0.12341650000007576,3988.88474434461,1812.0,200,0.1,100
9,9,0.13929720000010093,4009.629394410501,2014.0,200,0.1,100
10,10,0.15442640000014762,4011.4849865599763,2216.0,200,0.1,100
11,11,0.16924500000004628,4021.658627645754,2418.0,200,0.1,100
12,12,0.1825228000000152,4021.658627645754,2619.0,200,0.1,100
13,13,0.19544130000008408,4035.8407625895275,2821.0,200,0.1,100
14,14,0.20877459999996972,4111.4713562325205,3023.0,200,0.1,100
15,15,0.22212950000016463,4111.4713562325205,3224.0,200,0.1,100
16,16,0.23537110000006578,4111.4713562325205,3425.0,200,0.1,100
17,17,0.24847350000004553,4111.4713562325205,3626.0,200,0.1,100
18,18,0.2613926999999876,4111.4713562325205,3827.0,200,0.1,100
19,19,0.27497440000001916,4111.4713562325205,4028.0,200,0.1,100
20,20,0.28856370000016796,4147.865383718843,4230.0,200,0.1,100
21,21,0.3021400000000085,4180.955342645368,4432.0,200,0.1,100
22,22,0.31562810000013997,4180.955342645368,4633.0,200,0.1,100
23,23,0.3287677000000713,4204.332478446444,4835.0,200,0.1,100
24,24,0.3476382999999714,4204.332478446444,5036.0,200,0.1,100
25,25,0.36053830000014386,4204.332478446444,5237.0,200,0.1,100
26,26,0.3739256999999725,4226.348653116734,5439.0,200,0.1,100
27,27,0.38729570000009517,4226.348653116734,5640.0,200,0.1,100
28,28,0.4005984000000353,4226.348653116734,5841.0,200,0.1,100
29,29,0.4140002000001459,4226.348653116734,6042.0,200,0.1,100
30,30,0.42747080000003734,4277.422248889211,6244.0,200,0.1,100
31,31,0.44074700000010125,4308.044685077868,6446.0,200,0.1,100
32,32,0.45423470000014277,4325.38945905593,6648.0,200,0.1,100
33,33,0.4674747000001389,4325.38945905593,6849.0,200,0.1,100
34,34,0.4807033000001866,4325.38945905593,7050.0,200,0.1,100
35,35,0.49363149999999223,4325.38945905593,7251.0,200,0.1,100
36,36,0.5069998000001306,4325.38945905593,7452.0,200,0.1,100
37,37,0.5202077000001282,4325.38945905593,7653.0,200,0.1,100
38,38,0.5333241000000726,4325.38945905593,7854.0,200,0.1,100
39,39,0.5527822999999898,4325.38945905593,8055.0,200,0.1,100
40,40,0.5682054999999764,4325.38945905593,8256.0,200,0.1,100
41,41,0.5829972000001362,4328.841717766772,8458.0,200,0.1,100
42,42,0.597296500000084,4348.157931465734,8660.0,200,0.1,100
43,43,0.6099077000001216,4348.157931465734,8861.0,200,0.1,100
44,44,0.6237148000000161,4353.744299434744,9063.0,200,0.1,100
45,45,0.6380321999999978,4411.209805390579,9265.0,200,0.1,100
46,46,0.652352700000165,4428.451367276283,9467.0,200,0.1,100
47,47,0.6653060000001005,4428.451367276283,9668.0,200,0.1,100
48,48,0.6778822000001128,4428.451367276283,9869.0,200,0.1,100
49,49,0.690887800000155,4428.451367276283,10070.0,200,0.1,100
50,50,0.7039548000000195,4428.451367276283,10271.0,200,0.1,100
51,51,0.7170941000001676,4428.451367276283,10472.0,200,0.1,100
52,52,0.7303306999999677,4436.869838968102,10674.0,200,0.1,100
53,53,0.7440139000000272,4446.541817821346,10876.0,200,0.1,100
54,54,0.7585028000000875,4456.507553781319,11078.0,200,0.1,100
